Team,MP_x,W_x,D_x,L_x,GF_x,GA_x,GD_x,Pts_x,Pts/MP_x,H_GF per Game_x,H_GA per Game_x,MP_y,W_y,D_y,L_y,GF_y,GA_y,GD_y,Pts_y,Pts/MP_y,A_GF per Game_y,A_GA per Game_y
Red Star,6.0,5.0,1.0,0.0,19.0,5.0,14.0,16.0,2.67,3.1666666666666665,0.8333333333333334,6.0,6.0,0.0,0.0,21.0,3.0,18.0,18.0,3.0,3.5,0.5
Mladost Lučani,7.0,4.0,0.0,3.0,11.0,10.0,1.0,12.0,1.71,1.5714285714285714,1.4285714285714286,6.0,4.0,2.0,0.0,10.0,6.0,4.0,14.0,2.33,1.6666666666666667,1.0
OFK Beograd,6.0,3.0,1.0,2.0,13.0,13.0,0.0,10.0,1.67,2.1666666666666665,2.1666666666666665,7.0,4.0,2.0,1.0,9.0,5.0,4.0,14.0,2.0,1.2857142857142858,0.7142857142857143
Partizan,5.0,3.0,1.0,1.0,9.0,6.0,3.0,10.0,2.0,1.8,1.2,6.0,4.0,1.0,1.0,14.0,7.0,7.0,13.0,2.17,2.3333333333333335,1.1666666666666667
Radnički Kragujevac,7.0,3.0,2.0,2.0,14.0,7.0,7.0,11.0,1.57,2.0,1.0,6.0,3.0,0.0,3.0,12.0,8.0,4.0,9.0,1.5,2.0,1.3333333333333333
TSC Bačka Top,7.0,3.0,1.0,3.0,9.0,7.0,2.0,10.0,1.43,1.2857142857142858,1.0,5.0,3.0,0.0,2.0,9.0,5.0,4.0,9.0,1.8,1.8,1.0
Čukarički,7.0,4.0,1.0,2.0,12.0,8.0,4.0,13.0,1.86,1.7142857142857142,1.1428571428571428,6.0,1.0,3.0,2.0,8.0,11.0,-3.0,6.0,1.0,1.3333333333333333,1.8333333333333333
Vojvodina,6.0,2.0,1.0,3.0,9.0,10.0,-1.0,7.0,1.17,1.5,1.6666666666666667,7.0,3.0,3.0,1.0,14.0,7.0,7.0,12.0,1.71,2.0,1.0
Radnički Niš,6.0,4.0,2.0,0.0,11.0,6.0,5.0,14.0,2.33,1.8333333333333333,1.0,6.0,1.0,1.0,4.0,7.0,17.0,-10.0,4.0,0.67,1.1666666666666667,2.8333333333333335
Novi Pazar,7.0,3.0,2.0,2.0,13.0,10.0,3.0,11.0,1.57,1.8571428571428572,1.4285714285714286,6.0,2.0,0.0,4.0,7.0,13.0,-6.0,6.0,1.0,1.1666666666666667,2.1666666666666665
FK Železničar Pančevo,6.0,2.0,1.0,3.0,6.0,6.0,0.0,7.0,1.17,1.0,1.0,7.0,3.0,0.0,4.0,8.0,10.0,-2.0,9.0,1.29,1.1428571428571428,1.4285714285714286
Napredak Kruš,7.0,2.0,1.0,4.0,7.0,11.0,-4.0,7.0,1.0,1.0,1.5714285714285714,6.0,1.0,3.0,2.0,4.0,7.0,-3.0,6.0,1.0,0.6666666666666666,1.1666666666666667
FK IMT Novi Beograd,6.0,2.0,1.0,3.0,7.0,11.0,-4.0,7.0,1.17,1.1666666666666667,1.8333333333333333,7.0,1.0,1.0,5.0,8.0,13.0,-5.0,4.0,0.57,1.1428571428571428,1.8571428571428572
Tekstilac Odžaci,7.0,2.0,2.0,3.0,6.0,12.0,-6.0,8.0,1.14,0.8571428571428571,1.7142857142857142,6.0,1.0,0.0,5.0,3.0,13.0,-10.0,3.0,0.5,0.5,2.1666666666666665
Spartak Subotic,5.0,2.0,1.0,2.0,5.0,10.0,-5.0,7.0,1.4,1.0,2.0,7.0,0.0,2.0,5.0,5.0,13.0,-8.0,2.0,0.29,0.7142857142857143,1.8571428571428572
FK Jedinstvo Ub,6.0,1.0,1.0,4.0,5.0,11.0,-6.0,4.0,0.67,0.8333333333333334,1.8333333333333333,7.0,0.0,1.0,6.0,4.0,18.0,-14.0,1.0,0.14,0.5714285714285714,2.5714285714285716
