Team,MP_x,W_x,D_x,L_x,GF_x,GA_x,GD_x,Pts_x,Pts/MP_x,H_GF per Game_x,H_GA per Game_x,MP_y,W_y,D_y,L_y,GF_y,GA_y,GD_y,Pts_y,Pts/MP_y,A_GF per Game_y,A_GA per Game_y
Red Star,6.0,5.0,1.0,0.0,19.0,5.0,14.0,16.0,2.67,3.1666666666666665,0.8333333333333334,5.0,5.0,0.0,0.0,16.0,2.0,14.0,15.0,3.0,3.2,0.4
OFK Beograd,5.0,3.0,0.0,2.0,12.0,12.0,0.0,9.0,1.8,2.4,2.4,6.0,4.0,2.0,0.0,8.0,3.0,5.0,14.0,2.33,1.3333333333333333,0.5
Mladost Lučani,6.0,3.0,0.0,3.0,10.0,10.0,0.0,9.0,1.5,1.6666666666666667,1.6666666666666667,5.0,4.0,1.0,0.0,9.0,5.0,4.0,13.0,2.6,1.8,1.0
Čukarički,7.0,4.0,1.0,2.0,12.0,8.0,4.0,13.0,1.86,1.7142857142857142,1.1428571428571428,5.0,1.0,3.0,1.0,7.0,8.0,-1.0,6.0,1.2,1.4,1.6
Radnički Kragujevac,6.0,2.0,2.0,2.0,10.0,7.0,3.0,8.0,1.33,1.6666666666666667,1.1666666666666667,6.0,3.0,0.0,3.0,12.0,8.0,4.0,9.0,1.5,2.0,1.3333333333333333
Partizan,4.0,2.0,1.0,1.0,6.0,5.0,1.0,7.0,1.75,1.5,1.25,5.0,3.0,1.0,1.0,10.0,4.0,6.0,10.0,2.0,2.0,0.8
Radnički Niš,5.0,4.0,1.0,0.0,10.0,5.0,5.0,13.0,2.6,2.0,1.0,6.0,1.0,1.0,4.0,7.0,17.0,-10.0,4.0,0.67,1.1666666666666667,2.8333333333333335
TSC Bačka Top,7.0,3.0,1.0,3.0,9.0,7.0,2.0,10.0,1.43,1.2857142857142858,1.0,4.0,2.0,0.0,2.0,6.0,5.0,1.0,6.0,1.5,1.5,1.25
Vojvodina,5.0,1.0,1.0,3.0,7.0,9.0,-2.0,4.0,0.8,1.4,1.8,6.0,3.0,2.0,1.0,13.0,6.0,7.0,11.0,1.83,2.1666666666666665,1.0
Novi Pazar,6.0,3.0,2.0,1.0,10.0,6.0,4.0,11.0,1.83,1.6666666666666667,1.0,5.0,1.0,0.0,4.0,6.0,13.0,-7.0,3.0,0.6,1.2,2.6
Napredak Kruš,6.0,2.0,1.0,3.0,7.0,8.0,-1.0,7.0,1.17,1.1666666666666667,1.3333333333333333,6.0,1.0,3.0,2.0,4.0,7.0,-3.0,6.0,1.0,0.6666666666666666,1.1666666666666667
FK Železničar Pančevo,5.0,2.0,1.0,2.0,6.0,5.0,1.0,7.0,1.4,1.2,1.0,6.0,2.0,0.0,4.0,6.0,10.0,-4.0,6.0,1.0,1.0,1.6666666666666667
Tekstilac Odžaci,6.0,2.0,2.0,2.0,6.0,10.0,-4.0,8.0,1.33,1.0,1.6666666666666667,5.0,1.0,0.0,4.0,3.0,10.0,-7.0,3.0,0.6,0.6,2.0
Spartak Subotic,4.0,2.0,1.0,1.0,4.0,5.0,-1.0,7.0,1.75,1.0,1.25,6.0,0.0,1.0,5.0,4.0,12.0,-8.0,1.0,0.17,0.6666666666666666,2.0
FK IMT Novi Beograd,5.0,1.0,1.0,3.0,4.0,11.0,-7.0,4.0,0.8,0.8,2.2,6.0,1.0,1.0,4.0,8.0,12.0,-4.0,4.0,0.67,1.3333333333333333,2.0
FK Jedinstvo Ub,5.0,1.0,0.0,4.0,4.0,10.0,-6.0,3.0,0.6,0.8,2.0,6.0,0.0,1.0,5.0,4.0,14.0,-10.0,1.0,0.17,0.6666666666666666,2.3333333333333335
