Team,MP_x,W_x,D_x,L_x,GF_x,GA_x,GD_x,Pts_x,Pts/MP_x,H_GF per Game_x,H_GA per Game_x,MP_y,W_y,D_y,L_y,GF_y,GA_y,GD_y,Pts_y,Pts/MP_y,A_GF per Game_y,A_GA per Game_y
Slavia Prague,8.0,8.0,0.0,0.0,23.0,3.0,20.0,24.0,3.0,2.875,0.375,6.0,4.0,2.0,0.0,10.0,2.0,8.0,14.0,2.33,1.6666666666666667,0.3333333333333333
Viktoria Plzeň,7.0,6.0,1.0,0.0,14.0,2.0,12.0,19.0,2.71,2.0,0.2857142857142857,7.0,3.0,2.0,2.0,10.0,7.0,3.0,11.0,1.57,1.4285714285714286,1.0
Baník Ostrava,6.0,5.0,0.0,1.0,13.0,4.0,9.0,15.0,2.5,2.1666666666666665,0.6666666666666666,8.0,3.0,3.0,2.0,12.0,10.0,2.0,12.0,1.5,1.5,1.25
Sparta Prague,6.0,3.0,1.0,2.0,11.0,10.0,1.0,10.0,1.67,1.8333333333333333,1.6666666666666667,8.0,5.0,1.0,2.0,15.0,8.0,7.0,16.0,2.0,1.875,1.0
Jablonec,6.0,3.0,1.0,2.0,9.0,4.0,5.0,10.0,1.67,1.5,0.6666666666666666,8.0,3.0,2.0,3.0,9.0,5.0,4.0,11.0,1.38,1.125,0.625
Hradec Králové,7.0,4.0,2.0,1.0,9.0,5.0,4.0,14.0,2.0,1.2857142857142858,0.7142857142857143,7.0,1.0,2.0,4.0,3.0,6.0,-3.0,5.0,0.71,0.42857142857142855,0.8571428571428571
Karviná,8.0,3.0,3.0,2.0,9.0,7.0,2.0,12.0,1.5,1.125,0.875,6.0,2.0,1.0,3.0,7.0,14.0,-7.0,7.0,1.17,1.1666666666666667,2.3333333333333335
Slovácko,7.0,3.0,3.0,1.0,4.0,3.0,1.0,12.0,1.71,0.5714285714285714,0.42857142857142855,6.0,2.0,1.0,3.0,5.0,12.0,-7.0,7.0,1.17,0.8333333333333334,2.0
Sigma Olomouc,6.0,3.0,2.0,1.0,10.0,9.0,1.0,11.0,1.83,1.6666666666666667,1.5,7.0,2.0,2.0,3.0,9.0,10.0,-1.0,8.0,1.14,1.2857142857142858,1.4285714285714286
Mladá Boleslav,7.0,2.0,4.0,1.0,12.0,7.0,5.0,10.0,1.43,1.7142857142857142,1.0,7.0,2.0,2.0,3.0,9.0,11.0,-2.0,8.0,1.14,1.2857142857142858,1.5714285714285714
Slovan Liberec,8.0,2.0,4.0,2.0,11.0,10.0,1.0,10.0,1.25,1.375,1.25,6.0,2.0,1.0,3.0,9.0,8.0,1.0,7.0,1.17,1.5,1.3333333333333333
Bohemians 1905,6.0,1.0,2.0,3.0,6.0,11.0,-5.0,5.0,0.83,1.0,1.8333333333333333,8.0,3.0,3.0,2.0,9.0,8.0,1.0,12.0,1.5,1.125,1.0
Teplice,8.0,2.0,1.0,5.0,14.0,18.0,-4.0,7.0,0.88,1.75,2.25,6.0,2.0,0.0,4.0,5.0,8.0,-3.0,6.0,1.0,0.8333333333333334,1.3333333333333333
Dukla Prague,7.0,3.0,0.0,4.0,8.0,11.0,-3.0,9.0,1.29,1.1428571428571428,1.5714285714285714,7.0,0.0,2.0,5.0,2.0,15.0,-13.0,2.0,0.29,0.2857142857142857,2.142857142857143
FK Pardubice,6.0,2.0,0.0,4.0,6.0,7.0,-1.0,6.0,1.0,1.0,1.1666666666666667,8.0,1.0,2.0,5.0,7.0,14.0,-7.0,5.0,0.63,0.875,1.75
České Budĕjov.,8.0,0.0,2.0,6.0,1.0,14.0,-13.0,2.0,0.25,0.125,1.75,6.0,0.0,0.0,6.0,4.0,22.0,-18.0,0.0,0.0,0.6666666666666666,3.6666666666666665
