Team,MP_x,W_x,D_x,L_x,GF_x,GA_x,GD_x,Pts_x,Pts/MP_x,H_GF per Game_x,H_GA per Game_x,MP_y,W_y,D_y,L_y,GF_y,GA_y,GD_y,Pts_y,Pts/MP_y,A_GF per Game_y,A_GA per Game_y
Independiente,13.0,10.0,2.0,1.0,27.0,10.0,17.0,32.0,2.46,2.076923076923077,0.7692307692307693,13.0,7.0,5.0,1.0,19.0,10.0,9.0,26.0,2.0,1.4615384615384615,0.7692307692307693
Barcelona,13.0,10.0,3.0,0.0,25.0,5.0,20.0,33.0,2.54,1.9230769230769231,0.38461538461538464,13.0,5.0,2.0,6.0,16.0,18.0,-2.0,17.0,1.31,1.2307692307692308,1.3846153846153846
LDU de Quito,13.0,9.0,3.0,1.0,27.0,10.0,17.0,30.0,2.31,2.076923076923077,0.7692307692307693,13.0,7.0,2.0,4.0,21.0,18.0,3.0,23.0,1.77,1.6153846153846154,1.3846153846153846
SD Aucas,13.0,6.0,2.0,5.0,25.0,20.0,5.0,20.0,1.54,1.9230769230769231,1.5384615384615385,13.0,4.0,6.0,3.0,15.0,15.0,0.0,18.0,1.38,1.1538461538461537,1.1538461538461537
Univ Católica,13.0,9.0,2.0,2.0,33.0,15.0,18.0,29.0,2.23,2.5384615384615383,1.1538461538461537,13.0,4.0,4.0,5.0,19.0,20.0,-1.0,16.0,1.23,1.4615384615384615,1.5384615384615385
CS Emelec,13.0,5.0,5.0,3.0,12.0,7.0,5.0,20.0,1.54,0.9230769230769231,0.5384615384615384,13.0,4.0,3.0,6.0,13.0,19.0,-6.0,15.0,1.15,1.0,1.4615384615384615
El Nacional,13.0,6.0,1.0,6.0,14.0,13.0,1.0,19.0,1.46,1.0769230769230769,1.0,13.0,6.0,2.0,5.0,14.0,14.0,0.0,20.0,1.54,1.0769230769230769,1.0769230769230769
Mushuc Runa,13.0,7.0,3.0,3.0,22.0,9.0,13.0,24.0,1.85,1.6923076923076923,0.6923076923076923,13.0,2.0,6.0,5.0,15.0,25.0,-10.0,12.0,0.92,1.1538461538461537,1.9230769230769231
Macará,13.0,4.0,5.0,4.0,11.0,12.0,-1.0,17.0,1.31,0.8461538461538461,0.9230769230769231,13.0,4.0,3.0,6.0,12.0,16.0,-4.0,15.0,1.15,0.9230769230769231,1.2307692307692308
Deportivo Cuenca,14.0,4.0,5.0,5.0,24.0,20.0,4.0,17.0,1.21,1.7142857142857142,1.4285714285714286,12.0,2.0,5.0,5.0,13.0,18.0,-5.0,11.0,0.92,1.0833333333333333,1.5
Técnico Univ.,13.0,5.0,5.0,3.0,17.0,12.0,5.0,20.0,1.54,1.3076923076923077,0.9230769230769231,13.0,3.0,2.0,8.0,15.0,20.0,-5.0,11.0,0.85,1.1538461538461537,1.5384615384615385
Orense,12.0,6.0,4.0,2.0,18.0,11.0,7.0,22.0,1.83,1.5,0.9166666666666666,14.0,4.0,3.0,7.0,8.0,18.0,-10.0,15.0,1.07,0.5714285714285714,1.2857142857142858
Cumbayá FC,13.0,5.0,2.0,6.0,11.0,16.0,-5.0,17.0,1.31,0.8461538461538461,1.2307692307692308,13.0,0.0,3.0,10.0,6.0,21.0,-15.0,3.0,0.23,0.46153846153846156,1.6153846153846154
Imbabura Sporting Club,13.0,4.0,2.0,7.0,18.0,21.0,-3.0,14.0,1.08,1.3846153846153846,1.6153846153846154,13.0,2.0,3.0,8.0,12.0,30.0,-18.0,9.0,0.69,0.9230769230769231,2.3076923076923075
Delfín,13.0,3.0,5.0,5.0,12.0,14.0,-2.0,14.0,1.08,0.9230769230769231,1.0769230769230769,13.0,3.0,1.0,9.0,7.0,23.0,-16.0,10.0,0.77,0.5384615384615384,1.7692307692307692
Libertad FC,13.0,3.0,5.0,5.0,12.0,16.0,-4.0,14.0,1.08,0.9230769230769231,1.2307692307692308,13.0,1.0,4.0,8.0,6.0,23.0,-17.0,7.0,0.54,0.46153846153846156,1.7692307692307692
