Team,MP_x,W_x,D_x,L_x,GF_x,GA_x,GD_x,Pts_x,Pts/MP_x,H_GF per Game_x,H_GA per Game_x,MP_y,W_y,D_y,L_y,GF_y,GA_y,GD_y,Pts_y,Pts/MP_y,A_GF per Game_y,A_GA per Game_y
Ferencváros,6.0,5.0,1.0,0.0,11.0,3.0,8.0,16.0,2.67,1.8333333333333333,0.5,4.0,2.0,1.0,1.0,7.0,5.0,2.0,7.0,1.75,1.75,1.25
Puskás,7.0,5.0,2.0,0.0,12.0,4.0,8.0,17.0,2.43,1.7142857142857142,0.5714285714285714,4.0,2.0,0.0,2.0,6.0,6.0,0.0,6.0,1.5,1.5,1.5
MTK Budapest,5.0,3.0,1.0,1.0,12.0,6.0,6.0,10.0,2.0,2.4,1.2,6.0,4.0,0.0,2.0,8.0,5.0,3.0,12.0,2.0,1.3333333333333333,0.8333333333333334
Paks,6.0,5.0,0.0,1.0,13.0,8.0,5.0,15.0,2.5,2.1666666666666665,1.3333333333333333,5.0,2.0,1.0,2.0,11.0,8.0,3.0,7.0,1.4,2.2,1.6
Diósgyőr,6.0,2.0,2.0,2.0,5.0,7.0,-2.0,8.0,1.33,0.8333333333333334,1.1666666666666667,6.0,3.0,2.0,1.0,9.0,7.0,2.0,11.0,1.83,1.5,1.1666666666666667
Újpest,6.0,3.0,2.0,1.0,9.0,3.0,6.0,11.0,1.83,1.5,0.5,6.0,2.0,1.0,3.0,8.0,9.0,-1.0,7.0,1.17,1.3333333333333333,1.5
Vidi,6.0,4.0,1.0,1.0,14.0,5.0,9.0,13.0,2.17,2.3333333333333335,0.8333333333333334,6.0,0.0,2.0,4.0,5.0,15.0,-10.0,2.0,0.33,0.8333333333333334,2.5
Győr,6.0,2.0,2.0,2.0,8.0,9.0,-1.0,8.0,1.33,1.3333333333333333,1.5,5.0,1.0,2.0,2.0,4.0,5.0,-1.0,5.0,1.0,0.8,1.0
Nyíregyháza,5.0,2.0,2.0,1.0,9.0,9.0,0.0,8.0,1.6,1.8,1.8,7.0,1.0,1.0,5.0,6.0,12.0,-6.0,4.0,0.57,0.8571428571428571,1.7142857142857142
Zalaegerszeg,5.0,2.0,0.0,3.0,6.0,7.0,-1.0,6.0,1.2,1.2,1.4,6.0,0.0,3.0,3.0,6.0,10.0,-4.0,3.0,0.5,1.0,1.6666666666666667
Debrecen,4.0,1.0,0.0,3.0,5.0,10.0,-5.0,3.0,0.75,1.25,2.5,7.0,1.0,2.0,4.0,8.0,12.0,-4.0,5.0,0.71,1.1428571428571428,1.7142857142857142
Kecskemét,6.0,1.0,2.0,3.0,4.0,10.0,-6.0,5.0,0.83,0.6666666666666666,1.6666666666666667,6.0,0.0,0.0,6.0,3.0,14.0,-11.0,0.0,0.0,0.5,2.3333333333333335
