Team,MP_x,W_x,D_x,L_x,GF_x,GA_x,GD_x,Pts_x,Pts/MP_x,H_GF per Game_x,H_GA per Game_x,MP_y,W_y,D_y,L_y,GF_y,GA_y,GD_y,Pts_y,Pts/MP_y,A_GF per Game_y,A_GA per Game_y
Ferencváros,7.0,5.0,2.0,0.0,14.0,6.0,8.0,17.0,2.43,2.0,0.8571428571428571,5.0,3.0,1.0,1.0,8.0,5.0,3.0,10.0,2.0,1.6,1.0
Puskás,7.0,5.0,2.0,0.0,12.0,4.0,8.0,17.0,2.43,1.7142857142857142,0.5714285714285714,6.0,3.0,0.0,3.0,11.0,10.0,1.0,9.0,1.5,1.8333333333333333,1.6666666666666667
Paks,7.0,5.0,1.0,1.0,15.0,10.0,5.0,16.0,2.29,2.142857142857143,1.4285714285714286,6.0,2.0,2.0,2.0,11.0,8.0,3.0,8.0,1.33,1.8333333333333333,1.3333333333333333
MTK Budapest,6.0,3.0,2.0,1.0,14.0,8.0,6.0,11.0,1.83,2.3333333333333335,1.3333333333333333,7.0,4.0,0.0,3.0,8.0,7.0,1.0,12.0,1.71,1.1428571428571428,1.0
Diósgyőr,7.0,3.0,2.0,2.0,6.0,7.0,-1.0,11.0,1.57,0.8571428571428571,1.0,7.0,3.0,3.0,1.0,12.0,10.0,2.0,12.0,1.71,1.7142857142857142,1.4285714285714286
Újpest,7.0,3.0,3.0,1.0,9.0,3.0,6.0,12.0,1.71,1.2857142857142858,0.42857142857142855,7.0,3.0,1.0,3.0,9.0,9.0,0.0,10.0,1.43,1.2857142857142858,1.2857142857142858
Vidi,7.0,4.0,1.0,2.0,14.0,6.0,8.0,13.0,1.86,2.0,0.8571428571428571,7.0,0.0,2.0,5.0,5.0,16.0,-11.0,2.0,0.29,0.7142857142857143,2.2857142857142856
Nyíregyháza,7.0,3.0,2.0,2.0,11.0,12.0,-1.0,11.0,1.57,1.5714285714285714,1.7142857142857142,7.0,1.0,1.0,5.0,6.0,12.0,-6.0,4.0,0.57,0.8571428571428571,1.7142857142857142
Győr,6.0,2.0,2.0,2.0,8.0,9.0,-1.0,8.0,1.33,1.3333333333333333,1.5,7.0,1.0,4.0,2.0,8.0,9.0,-1.0,7.0,1.0,1.1428571428571428,1.2857142857142858
Zalaegerszeg,6.0,3.0,0.0,3.0,10.0,9.0,1.0,9.0,1.5,1.6666666666666667,1.5,7.0,0.0,4.0,3.0,8.0,12.0,-4.0,4.0,0.57,1.1428571428571428,1.7142857142857142
Debrecen,6.0,1.0,2.0,3.0,9.0,14.0,-5.0,5.0,0.83,1.5,2.3333333333333335,7.0,1.0,2.0,4.0,8.0,12.0,-4.0,5.0,0.71,1.1428571428571428,1.7142857142857142
Kecskemét,7.0,1.0,2.0,4.0,4.0,11.0,-7.0,5.0,0.71,0.5714285714285714,1.5714285714285714,7.0,0.0,1.0,6.0,5.0,16.0,-11.0,1.0,0.14,0.7142857142857143,2.2857142857142856
