Team,MP_x,W_x,D_x,L_x,GF_x,GA_x,GD_x,Pts_x,Pts/MP_x,H_GF per Game_x,H_GA per Game_x,MP_y,W_y,D_y,L_y,GF_y,GA_y,GD_y,Pts_y,Pts/MP_y,A_GF per Game_y,A_GA per Game_y
Hajduk Split,6.0,6.0,0.0,0.0,15.0,4.0,11.0,18.0,3.0,2.5,0.6666666666666666,5.0,2.0,3.0,0.0,5.0,2.0,3.0,9.0,1.8,1.0,0.4
Rijeka,6.0,3.0,3.0,0.0,13.0,2.0,11.0,12.0,2.0,2.1666666666666665,0.3333333333333333,5.0,2.0,3.0,0.0,5.0,2.0,3.0,9.0,1.8,1.0,0.4
Dinamo Zagreb,6.0,4.0,0.0,2.0,17.0,7.0,10.0,12.0,2.0,2.8333333333333335,1.1666666666666667,5.0,2.0,2.0,1.0,7.0,8.0,-1.0,8.0,1.6,1.4,1.6
Osijek,5.0,2.0,0.0,3.0,5.0,7.0,-2.0,6.0,1.2,1.0,1.4,6.0,3.0,1.0,2.0,11.0,8.0,3.0,10.0,1.67,1.8333333333333333,1.3333333333333333
Varaždin,5.0,3.0,1.0,1.0,5.0,2.0,3.0,10.0,2.0,1.0,0.4,6.0,1.0,3.0,2.0,4.0,5.0,-1.0,6.0,1.0,0.6666666666666666,0.8333333333333334
Šibenik,4.0,1.0,2.0,1.0,3.0,3.0,0.0,5.0,1.25,0.75,0.75,7.0,2.0,1.0,4.0,6.0,15.0,-9.0,7.0,1.0,0.8571428571428571,2.142857142857143
Istra 1961,5.0,2.0,2.0,1.0,7.0,7.0,0.0,8.0,1.6,1.4,1.4,6.0,1.0,1.0,4.0,1.0,11.0,-10.0,4.0,0.67,0.16666666666666666,1.8333333333333333
Gorica,6.0,3.0,2.0,1.0,7.0,5.0,2.0,11.0,1.83,1.1666666666666667,0.8333333333333334,5.0,0.0,0.0,5.0,4.0,12.0,-8.0,0.0,0.0,0.8,2.4
Lokomotiva,6.0,1.0,2.0,3.0,5.0,6.0,-1.0,5.0,0.83,0.8333333333333334,1.0,5.0,1.0,1.0,3.0,6.0,13.0,-7.0,4.0,0.8,1.2,2.6
Slaven Belupo,6.0,1.0,3.0,2.0,8.0,8.0,0.0,6.0,1.0,1.3333333333333333,1.3333333333333333,5.0,0.0,0.0,5.0,2.0,9.0,-7.0,0.0,0.0,0.4,1.8
