Team,MP_x,W_x,D_x,L_x,GF_x,GA_x,GD_x,Pts_x,Pts/MP_x,H_GF per Game_x,H_GA per Game_x,MP_y,W_y,D_y,L_y,GF_y,GA_y,GD_y,Pts_y,Pts/MP_y,A_GF per Game_y,A_GA per Game_y
Rijeka,3.0,2.0,1.0,0.0,9.0,1.0,8.0,7.0,2.33,3.0,0.3333333333333333,3.0,2.0,1.0,0.0,3.0,0.0,3.0,7.0,2.33,1.0,0.0
Hajduk Split,3.0,3.0,0.0,0.0,5.0,2.0,3.0,9.0,3.0,1.6666666666666667,0.6666666666666666,3.0,1.0,2.0,0.0,3.0,2.0,1.0,5.0,1.67,1.0,0.6666666666666666
Dinamo Zagreb,4.0,3.0,0.0,1.0,10.0,2.0,8.0,9.0,2.25,2.5,0.5,2.0,1.0,1.0,0.0,3.0,2.0,1.0,4.0,2.0,1.5,1.0
Šibenik,2.0,1.0,1.0,0.0,2.0,0.0,2.0,4.0,2.0,1.0,0.0,4.0,2.0,0.0,2.0,4.0,6.0,-2.0,6.0,1.5,1.0,1.5
Varaždin,2.0,1.0,1.0,0.0,2.0,0.0,2.0,4.0,2.0,1.0,0.0,4.0,1.0,2.0,1.0,2.0,2.0,0.0,5.0,1.25,0.5,0.5
Istra 1961,3.0,1.0,1.0,1.0,3.0,4.0,-1.0,4.0,1.33,1.0,1.3333333333333333,3.0,1.0,0.0,2.0,1.0,9.0,-8.0,3.0,1.0,0.3333333333333333,3.0
Gorica,4.0,1.0,2.0,1.0,4.0,4.0,0.0,5.0,1.25,1.0,1.0,2.0,0.0,0.0,2.0,2.0,4.0,-2.0,0.0,0.0,1.0,2.0
Lokomotiva,3.0,0.0,1.0,2.0,1.0,3.0,-2.0,1.0,0.33,0.3333333333333333,1.0,3.0,1.0,1.0,1.0,4.0,6.0,-2.0,4.0,1.33,1.3333333333333333,2.0
Osijek,4.0,1.0,0.0,3.0,3.0,6.0,-3.0,3.0,0.75,0.75,1.5,2.0,0.0,1.0,1.0,2.0,3.0,-1.0,1.0,0.5,1.0,1.5
Slaven Belupo,2.0,0.0,1.0,1.0,2.0,3.0,-1.0,1.0,0.5,1.0,1.5,4.0,0.0,0.0,4.0,1.0,7.0,-6.0,0.0,0.0,0.25,1.75
