Team,MP_x,W_x,D_x,L_x,GF_x,GA_x,GD_x,Pts_x,Pts/MP_x,H_GF per Game_x,H_GA per Game_x,MP_y,W_y,D_y,L_y,GF_y,GA_y,GD_y,Pts_y,Pts/MP_y,A_GF per Game_y,A_GA per Game_y
Lech Poznań,8.0,7.0,0.0,1.0,21.0,6.0,15.0,21.0,2.63,2.625,0.75,7.0,4.0,1.0,2.0,9.0,6.0,3.0,13.0,1.86,1.2857142857142858,0.8571428571428571
Jagiellonia,9.0,5.0,3.0,1.0,18.0,12.0,6.0,18.0,2.0,2.0,1.3333333333333333,7.0,5.0,0.0,2.0,12.0,11.0,1.0,15.0,2.14,1.7142857142857142,1.5714285714285714
RKS Raków,7.0,4.0,1.0,2.0,9.0,3.0,6.0,13.0,1.86,1.2857142857142858,0.42857142857142855,8.0,5.0,3.0,0.0,10.0,3.0,7.0,18.0,2.25,1.25,0.375
Cracovia,8.0,3.0,2.0,3.0,17.0,16.0,1.0,11.0,1.38,2.125,2.0,7.0,6.0,0.0,1.0,16.0,8.0,8.0,18.0,2.57,2.2857142857142856,1.1428571428571428
Legia Warsaw,8.0,5.0,1.0,2.0,19.0,9.0,10.0,16.0,2.0,2.375,1.125,7.0,2.0,3.0,2.0,9.0,10.0,-1.0,9.0,1.29,1.2857142857142858,1.4285714285714286
Motor Lublin,8.0,3.0,2.0,3.0,11.0,12.0,-1.0,11.0,1.38,1.375,1.5,8.0,4.0,1.0,3.0,13.0,16.0,-3.0,13.0,1.63,1.625,2.0
Pogoń Szczecin,8.0,7.0,0.0,1.0,15.0,5.0,10.0,21.0,2.63,1.875,0.625,7.0,0.0,1.0,6.0,6.0,15.0,-9.0,1.0,0.14,0.8571428571428571,2.142857142857143
Widzew Łódź,7.0,4.0,1.0,2.0,8.0,6.0,2.0,13.0,1.86,1.1428571428571428,0.8571428571428571,8.0,2.0,3.0,3.0,12.0,13.0,-1.0,9.0,1.13,1.5,1.625
Górnik Zabrze,7.0,3.0,1.0,3.0,9.0,7.0,2.0,10.0,1.43,1.2857142857142858,1.0,8.0,3.0,2.0,3.0,10.0,10.0,0.0,11.0,1.38,1.25,1.25
Piast Gliwice,7.0,2.0,3.0,2.0,11.0,10.0,1.0,9.0,1.29,1.5714285714285714,1.4285714285714286,8.0,3.0,2.0,3.0,7.0,7.0,0.0,11.0,1.38,0.875,0.875
Katowice,8.0,2.0,3.0,3.0,10.0,9.0,1.0,9.0,1.13,1.25,1.125,7.0,3.0,1.0,3.0,14.0,13.0,1.0,10.0,1.43,2.0,1.8571428571428572
Zagłębie Lubin,8.0,4.0,1.0,3.0,10.0,8.0,2.0,13.0,1.63,1.25,1.0,8.0,1.0,2.0,5.0,5.0,15.0,-10.0,5.0,0.63,0.625,1.875
Radomiak Radom,7.0,3.0,1.0,3.0,12.0,9.0,3.0,10.0,1.43,1.7142857142857142,1.2857142857142858,7.0,2.0,0.0,5.0,7.0,12.0,-5.0,6.0,0.86,1.0,1.7142857142857142
Korona Kielce,7.0,2.0,1.0,4.0,6.0,9.0,-3.0,7.0,1.0,0.8571428571428571,1.2857142857142858,8.0,2.0,3.0,3.0,6.0,13.0,-7.0,9.0,1.13,0.75,1.625
Stal Mielec,8.0,4.0,2.0,2.0,10.0,7.0,3.0,14.0,1.75,1.25,0.875,7.0,0.0,1.0,6.0,4.0,12.0,-8.0,1.0,0.14,0.5714285714285714,1.7142857142857142
Puszcza Niepołomice,7.0,2.0,3.0,2.0,11.0,13.0,-2.0,9.0,1.29,1.5714285714285714,1.8571428571428572,8.0,0.0,2.0,6.0,2.0,12.0,-10.0,2.0,0.25,0.25,1.5
Lechia Gdańsk,7.0,1.0,2.0,4.0,5.0,10.0,-5.0,5.0,0.71,0.7142857142857143,1.4285714285714286,8.0,1.0,3.0,4.0,12.0,18.0,-6.0,6.0,0.75,1.5,2.25
Śląsk Wrocław,7.0,1.0,4.0,2.0,7.0,9.0,-2.0,7.0,1.0,1.0,1.2857142857142858,8.0,0.0,3.0,5.0,6.0,15.0,-9.0,3.0,0.38,0.75,1.875
